,name,company,year,Price,kms_driven,fuel_type
408,maruti suzuki alto,maruti,2015,230000,5000,Petrol
409,ford ikon 1.3,ford,2001,45000,65000,Petrol
410,toyota fortuner 3.0,toyota,2010,940000,131000,Diesel
411,tata manza elan,tata,2010,155555,111111,Petrol
412,mercedes benz a,mercedes,2013,1500000,14000,Petrol
413,chevrolet beat ls,chevrolet,2016,210000,22000,Diesel
414,ford ecosport trend,ford,2013,495000,38000,Diesel
415,tata indigo ls,tata,2016,125000,70000,Diesel
416,hyundai i20 magna,hyundai,2010,195000,36000,Petrol
417,volkswagen vento highline,volkswagen,2015,550000,34000,Diesel
418,renault kwid rxt,renault,2015,270000,43000,Petrol
419,ford ecosport titanium,ford,2014,500000,40000,Diesel
420,honda amaze 1.5,honda,2016,240000,160000,Diesel
421,hyundai verna 1.6,hyundai,2017,800000,12000,Petrol
422,bmw 5 series,bmw,2011,1299000,49000,Diesel
423,skoda superb 1.8,skoda,2011,530000,68000,Petrol
424,audi q3 2.0,audi,2013,1499000,37000,Diesel
425,mahindra bolero di,mahindra,2012,220000,59466,Diesel
426,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
427,ford figo duratorq,ford,2012,250000,99000,Diesel
428,maruti suzuki wagon,maruti,2018,395000,25500,Petrol
429,mahindra logan diesel,mahindra,2009,130000,66000,Petrol
430,tata nano genx,tata,2010,32000,44005,Petrol
431,mahindra tuv300 t4,mahindra,2016,540000,35000,Diesel
432,mahindra tuv300 t4,mahindra,2016,540000,35000,Diesel
433,hyundai elite i20,hyundai,2015,405000,28000,Petrol
434,hyundai elite i20,hyundai,2015,400000,30000,Petrol
435,honda city sv,honda,2017,760000,4000,Petrol
436,maruti suzuki baleno,maruti,2016,500000,28000,Petrol
437,ford figo petrol,ford,2011,175000,75000,Petrol
438,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
439,honda city,honda,2017,750000,3000,Petrol
440,hyundai elite i20,hyundai,2015,419000,20000,Petrol
441,maruti suzuki versa,maruti,2004,90000,50000,Petrol
442,hyundai eon era,hyundai,2018,140000,2110,Petrol
443,mitsubishi pajero sport,mitsubishi,2015,1540000,43222,Petrol
444,hyundai i10 magna,hyundai,2008,275000,100200,Petrol
445,toyota corolla h2,toyota,2003,150000,100000,Petrol
446,maruti suzuki swift,maruti,2011,230000,65,Petrol
447,tata indigo cs,tata,2015,123000,100000,Diesel
448,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
449,mahindra scorpio s10,mahindra,2015,900000,97200,Diesel
450,hyundai xcent base,hyundai,2016,300000,140000,Diesel
451,honda city,honda,2015,499999,55000,Petrol
452,hyundai accent executive,hyundai,2009,165000,48000,Petrol
453,maruti suzuki baleno,maruti,2016,498000,22000,Petrol
454,tata zest xe,tata,2018,480000,103553,Diesel
455,maruti suzuki dzire,maruti,2017,488000,80000,Diesel
456,tata sumo gold,tata,2014,250000,99000,Diesel
457,toyota corolla altis,toyota,2010,220000,58000,Petrol
458,maruti suzuki eeco,maruti,2013,290000,70000,LPG
459,toyota fortuner 3.0,toyota,2015,1525000,120000,Diesel
460,mahindra xuv500 w6,mahindra,2013,548900,49800,Diesel
461,tata tigor revotron,tata,2019,650000,100,Diesel
462,maruti suzuki 800,maruti,2001,55000,81876,Petrol
463,maruti suzuki ertiga,maruti,2015,550000,75000,Petrol
464,maruti suzuki versa,maruti,2004,90000,50000,Petrol
465,honda mobilio s,honda,2014,399000,44000,Diesel
466,maruti suzuki ertiga,maruti,2016,730000,55000,Diesel
467,maruti suzuki vitara,maruti,2017,725000,36000,Diesel
468,hyundai verna 1.6,hyundai,2016,195000,56000,Diesel
469,maruti suzuki swift,maruti,2007,130000,62000,Petrol
470,toyota fortuner 3.0,toyota,2015,1525000,120000,Diesel
471,maruti suzuki omni,maruti,2014,190000,6020,Petrol
472,honda amaze,honda,2013,250000,55700,Diesel
473,tata indica,tata,2005,80000,42000,Petrol
474,hyundai santro xing,hyundai,2003,120000,50000,Petrol
475,maruti suzuki zen,maruti,2010,149000,35000,Petrol
476,maruti suzuki wagon,maruti,2014,250000,18500,Petrol
477,maruti suzuki wagon,maruti,2007,120000,7000,Petrol
478,honda brio vx,honda,2017,450000,11000,Petrol
479,maruti suzuki zen,maruti,2003,99999,53000,Petrol
480,maruti suzuki zen,maruti,2008,135000,23000,Petrol
481,maruti suzuki wagon,maruti,2016,225000,35500,Diesel
482,maruti suzuki alto,maruti,2010,99000,22134,Petrol
483,renault kwid rxt,renault,2019,370000,1000,Petrol
484,tata nano lx,tata,2010,52000,9000,Petrol
485,jaguar xe xe,jaguar,2016,2800000,8500,Petrol
486,hyundai eon magna,hyundai,2014,190000,35000,Petrol
487,honda city 1.5,honda,2014,499000,22000,Petrol
488,hindustan motors ambassador,hindustan,2002,90000,25000,Diesel
489,maruti suzuki ritz,maruti,2010,149000,40000,Petrol
490,hyundai grand i10,hyundai,2017,400000,20000,Petrol
491,hyundai eon d,hyundai,2016,120000,87000,Petrol
492,maruti suzuki swift,maruti,2015,250000,55000,Petrol
493,maruti suzuki wagon,maruti,2017,375000,23000,Petrol
494,honda amaze 1.2,honda,2014,381000,6000,Petrol
495,maruti suzuki estilo,maruti,2013,180000,65000,Petrol
496,maruti suzuki vitara,maruti,2016,580000,25000,Diesel
497,maruti suzuki eeco,maruti,2015,278000,39000,Petrol
498,hyundai creta 1.6,hyundai,2016,1000000,8000,Petrol
499,mahindra scorpio vlx,mahindra,2013,690000,75000,Diesel
500,maruti suzuki ertiga,maruti,2012,480000,51000,Diesel
501,mitsubishi lancer 1.8,mitsubishi,2006,85000,50000,Petrol
502,maruti suzuki maruti,maruti,2001,40000,75000,Petrol
503,maruti suzuki alto,maruti,2015,90000,55800,Petrol
504,hyundai grand i10,hyundai,2015,340000,53000,Petrol
505,hyundai eon d,hyundai,2018,260000,25000,Petrol
506,ford fiesta sxi,ford,2009,250000,56400,Petrol
507,maruti suzuki ritz,maruti,2010,180000,72160,Diesel
508,hyundai verna fluidic,hyundai,2012,350000,10000,Diesel
509,maruti suzuki wagon,maruti,2006,90001,48000,Petrol
510,maruti suzuki estilo,maruti,2007,115000,36000,Petrol
511,audi a6 2.0,audi,2012,1599000,11500,Diesel
512,maruti suzuki wagon,maruti,2003,130000,133000,Petrol
513,maruti suzuki wagon,maruti,2009,159000,27000,Petrol
514,maruti suzuki wagon,maruti,2009,160000,35000,Petrol
515,maruti suzuki alto,maruti,2010,110000,55000,Petrol
516,maruti suzuki baleno,maruti,2016,425000,40000,Petrol
517,hyundai verna 1.6,hyundai,2019,900000,2000,Petrol
518,maruti suzuki swift,maruti,2009,150000,45000,Petrol
519,hyundai getz prime,hyundai,2009,110000,20000,Petrol
520,hyundai santro,hyundai,2000,51999,88000,Petrol
521,hyundai getz prime,hyundai,2009,115000,20000,Petrol
522,chevrolet beat ps,chevrolet,2012,215000,65422,Diesel
523,ford ecosport trend,ford,2017,580000,10000,Petrol
524,maruti suzuki dzire,maruti,2013,380000,35000,Petrol
525,hyundai fluidic verna,hyundai,2013,350000,117000,Diesel
526,tata indica v2,tata,2005,35000,150000,Diesel
527,bmw x1 xdrive20d,bmw,2011,1150000,72000,Diesel
528,hyundai i20 asta,hyundai,2010,300000,10750,Petrol
529,honda city 1.5,honda,2009,269000,55000,Petrol
530,tata nano,tata,2013,60000,6800,Petrol
531,chevrolet cruze ltz,chevrolet,2014,400000,41000,Diesel
532,hyundai verna fluidic,hyundai,2015,430000,73000,Diesel
533,maruti suzuki swift,maruti,2011,140000,65000,Diesel
534,mahindra xuv500 w10,mahindra,2018,1299000,40000,Diesel
535,maruti suzuki alto,maruti,2014,199000,37000,Petrol
536,hyundai accent gle,hyundai,2006,90000,55000,Petrol
537,force motors one,force,2013,550000,140000,Diesel
538,maruti suzuki alto,maruti,2019,265000,9800,Petrol
539,chevrolet spark 1.0,chevrolet,2011,100000,27000,Petrol
540,hyundai i10,hyundai,2009,215000,27000,Petrol
541,toyota etios liva,toyota,2012,380000,20000,Diesel
542,renault duster 85ps,renault,2013,401919,57923,Diesel
543,chevrolet enjoy,chevrolet,2014,490000,30201,Diesel
544,maruti suzuki alto,maruti,2017,280000,6200,Petrol
545,bmw 5 series,bmw,2009,650000,37518,Petrol
546,toyota etios liva,toyota,2014,160000,24652,Petrol
547,mahindra jeep mm,mahindra,2004,424000,383,Diesel
548,chevrolet beat ls,chevrolet,2016,225000,95000,Diesel
549,chevrolet cruze ltz,chevrolet,2011,350000,35000,Diesel
550,jeep wrangler unlimited,jeep,2015,950000,3528,Diesel
551,maruti suzuki ertiga,maruti,2013,485000,52500,Diesel
552,hyundai verna vgt,hyundai,2010,205000,47900,Diesel
553,maruti suzuki omni,maruti,2012,160000,14000,Petrol
554,maruti suzuki celerio,maruti,2018,310000,37000,Petrol
555,tata zest quadrajet,tata,2017,180000,90000,Diesel
556,mahindra xuv500 w6,mahindra,2013,549900,52800,Diesel
557,tata indigo cs,tata,2016,150000,104000,Diesel
558,hyundai i10 era,hyundai,2011,175000,30000,Petrol
559,tata indigo ecs,tata,2014,95000,195000,Diesel
560,tata indigo lx,tata,2016,230000,104000,Diesel
561,tata indigo ecs,tata,2016,230000,104000,Diesel
562,tata indigo marina,tata,2004,180000,70000,Diesel
563,hyundai xcent sx,hyundai,2015,400000,43000,Diesel
564,hyundai eon magna,hyundai,2013,185000,23000,Petrol
565,renault duster 85,renault,2015,385000,51000,Diesel
566,maruti suzuki alto,maruti,2009,90000,62000,Petrol
567,tata nano lx,tata,2010,32000,48008,Petrol
568,renault duster 110,renault,2013,435000,39000,Diesel
569,maruti suzuki wagon,maruti,2010,225000,40000,Petrol
570,maruti suzuki swift,maruti,2006,189700,48247,Petrol
571,maruti suzuki ertiga,maruti,2012,389700,39000,Diesel
572,maruti suzuki swift,maruti,2014,365000,23000,Petrol
573,maruti suzuki alto,maruti,2017,360000,9400,Petrol
574,hyundai i20 magna,hyundai,2010,210000,50000,Petrol
575,hyundai i10 magna,hyundai,2009,170000,75000,Petrol
576,tata zest xe,tata,2017,380000,70000,Diesel
577,mahindra xylo e8,mahindra,2009,295000,64000,Diesel
578,toyota corolla altis,toyota,2010,185000,55000,Petrol
579,tata manza aqua,tata,2014,160000,200000,Diesel
580,renault kwid 1.0,renault,2018,290000,2137,Petrol
581,tata venture ex,tata,2013,100000,30000,Diesel
582,maruti suzuki swift,maruti,2014,315000,44000,Petrol
583,skoda octavia classic,skoda,2006,114990,65000,Diesel
584,maruti suzuki omni,maruti,2012,120000,160000,LPG
585,chevrolet beat diesel,chevrolet,2011,125000,56000,Diesel
586,tata sumo gold,tata,2012,210000,75000,Diesel
587,hyundai verna 1.6,hyundai,2018,855000,42000,Diesel
588,tata sumo gold,tata,2012,210000,75000,Diesel
589,mahindra scorpio 2.6,mahindra,2007,260000,56000,Diesel
590,maruti suzuki zen,maruti,2002,95000,10544,Petrol
591,maruti suzuki swift,maruti,2011,255000,64000,Petrol
592,mahindra scorpio slx,mahindra,2008,300000,70000,Diesel
593,hyundai grand i10,hyundai,2014,340000,25000,Petrol
594,hyundai elite i20,hyundai,2017,550000,15000,Petrol
595,ford ikon 1.6,ford,2003,60000,50000,Petrol
596,toyota innova 2.5,toyota,2011,750000,147000,Diesel
597,nissan sunny xl,nissan,2011,230000,52000,Petrol
598,chevrolet beat lt,chevrolet,2012,130000,90001,Diesel
599,maruti suzuki alto,maruti,2017,270000,21000,Petrol
600,maruti suzuki swift,maruti,2012,280000,48006,Diesel
601,maruti suzuki swift,maruti,2012,280000,48006,Diesel
602,maruti suzuki swift,maruti,2012,280000,48006,Diesel
603,toyota innova 2.0,toyota,2012,600000,80000,Diesel
604,maruti suzuki swift,maruti,2010,190000,74000,Diesel
605,hyundai elite i20,hyundai,2015,500000,22000,Petrol
606,mahindra xuv500 w10,mahindra,2016,1065000,41000,Diesel
607,volkswagen polo trendline,volkswagen,2015,350000,25000,Diesel
608,toyota etios liva,toyota,2012,350000,85000,Diesel
609,mahindra tuv300 t4,mahindra,2016,540000,29500,Diesel
610,hyundai elite i20,hyundai,2015,470000,30000,Petrol
611,hyundai santro xing,hyundai,2014,179000,57000,Petrol
612,maruti suzuki zen,maruti,2003,48000,60000,Petrol
613,maruti suzuki ciaz,maruti,2016,650000,50000,Petrol
614,hyundai eon era,hyundai,2013,190000,39700,Petrol
615,hyundai elantra 1.8,hyundai,2012,500000,65000,Petrol
616,maruti suzuki swift,maruti,2010,270000,67000,Diesel
617,maruti suzuki zen,maruti,2008,125000,46000,Petrol
618,hyundai eon era,hyundai,2012,188000,38000,Petrol
619,hyundai grand i10,hyundai,2016,380000,27000,Petrol
620,hyundai verna fluidic,hyundai,2011,365000,43000,Diesel
621,ford ecosport trend,ford,2014,465000,47000,Petrol
622,hyundai i20 magna,hyundai,2011,240000,42000,Petrol
623,chevrolet beat diesel,chevrolet,2016,179999,19336,Diesel
624,tata indica ev2,tata,2015,140000,60105,Diesel
625,jaguar xf 2.2,jaguar,2013,2190000,29000,Diesel
626,audi q5 2.0,audi,2014,2390000,34000,Diesel
627,bmw 3 series,bmw,2011,1075000,35000,Diesel
628,maruti suzuki swift,maruti,2015,475000,22000,Petrol
629,bmw x1 sdrive20d,bmw,2012,1025000,41000,Diesel
630,maruti suzuki s,maruti,2016,615000,21000,Diesel
631,maruti suzuki ertiga,maruti,2013,475000,48000,Diesel
632,maruti suzuki alto,maruti,2016,270000,38000,Petrol
633,honda city sv,honda,2014,475000,34000,Diesel
634,volkswagen vento comfortline,volkswagen,2011,240000,45933,Petrol
635,honda city 1.5,honda,2005,120000,68000,Petrol
636,audi a4 2.0,audi,2016,1900000,44000,Diesel
637,mahindra kuv100,mahindra,2017,360000,35000,Diesel
638,tata zest xe,tata,2018,450000,102563,Diesel
639,mahindra xuv500 w8,mahindra,2015,900000,28600,Diesel
640,maruti suzuki swift,maruti,2017,650000,41800,Diesel
641,tata sumo gold,tata,2014,275000,116000,Diesel
642,maruti suzuki swift,maruti,2009,210000,59000,Petrol
643,mahindra scorpio 2.6,mahindra,2004,175000,58000,Diesel
644,maruti suzuki omni,maruti,2009,85000,45000,Petrol
645,mitsubishi pajero sport,mitsubishi,2015,1490000,42590,Diesel
646,renault duster,renault,2014,800000,7400,Diesel
647,volkswagen jetta comfortline,volkswagen,2009,450000,54500,Diesel
648,maruti suzuki ertiga,maruti,2012,1000000,200000,Diesel
649,audi a4 2.0,audi,2013,1510000,27000,Diesel
650,volvo s80 summum,volvo,2015,1850000,42000,Diesel
651,toyota corolla altis,toyota,2014,790000,29000,Petrol
652,mitsubishi pajero sport,mitsubishi,2015,1725000,37000,Diesel
653,chevrolet beat lt,chevrolet,2012,135000,36000,Petrol
654,bmw x1,bmw,2011,1000000,34000,Diesel
655,datsun redi go,datsun,2018,299999,7000,Petrol
656,mercedes benz c,mercedes,2009,1225000,76000,Diesel
657,mahindra scorpio slx,mahindra,2004,175000,60000,Diesel
658,volkswagen vento comfortline,volkswagen,2011,200000,95000,Diesel
659,tata indigo cs,tata,2017,270000,50000,Diesel
660,ford figo petrol,ford,2019,525000,00,Petrol
661,honda city zx,honda,2006,180000,50000,Petrol
662,maruti suzuki wagon,maruti,2008,140000,68000,Petrol
663,ford ecosport trend,ford,2014,400000,16000,Petrol
664,maruti suzuki swift,maruti,2016,499000,51000,Diesel
665,maruti suzuki omni,maruti,2009,85000,56000,Petrol
666,maruti suzuki zen,maruti,2004,70000,100000,Petrol
667,renault duster rxl,renault,2015,550000,36000,Petrol
668,maruti suzuki swift,maruti,2014,370000,11523,Petrol
669,maruti suzuki baleno,maruti,2018,690000,1000,Petrol
670,honda wr v,honda,2009,250000,60000,Petrol
671,tata indigo cs,tata,2016,110000,85000,Diesel
672,renault duster 110,renault,2013,490000,38600,Diesel
673,mahindra scorpio lx,mahindra,2009,320000,95500,Diesel
674,maruti suzuki zen,maruti,2004,68000,56000,Petrol
675,maruti suzuki wagon,maruti,2014,130000,37458,Petrol
676,maruti suzuki sx4,maruti,2016,970000,85960,Diesel
677,audi a3 cabriolet,audi,2015,3100000,12516,Petrol
678,hyundai eon d,hyundai,2018,280000,35000,Petrol
679,maruti suzuki zen,maruti,2009,125000,00,Petrol
680,mahindra scorpio slx,mahindra,2008,285000,80000,Diesel
681,hyundai santro ae,hyundai,2011,165000,45000,Petrol
682,maruti suzuki swift,maruti,2009,250000,51000,Diesel
683,mahindra scorpio s4,mahindra,2015,865000,30000,Diesel
684,mahindra xylo d2,mahindra,2011,390000,48000,Diesel
685,hyundai santro,hyundai,2003,60000,51000,Petrol
686,chevrolet beat lt,chevrolet,2015,215000,90000,Diesel
687,maruti suzuki swift,maruti,2015,475000,43000,Diesel
688,mahindra xuv500 w8,mahindra,2015,899000,53000,Diesel
689,toyota fortuner 3.0,toyota,2013,1499000,97000,Diesel
690,maruti suzuki alto,maruti,2013,240000,20000,Petrol
691,hyundai getz gle,hyundai,2007,99000,55000,Petrol
692,maruti suzuki swift,maruti,2014,260000,120000,Diesel
693,hyundai creta 1.6,hyundai,2019,1200000,0,Petrol
694,hyundai santro xing,hyundai,2007,115000,46000,Petrol
695,hyundai santro xing,hyundai,2009,88000,43200,Petrol
696,mahindra xylo d2,mahindra,2011,390000,56000,Diesel
697,hyundai santro xing,hyundai,2007,135000,42000,Petrol
698,tata indica v2,tata,2009,90000,30600,Diesel
699,hyundai i10 sportz,hyundai,2011,220000,38000,Petrol
700,hyundai grand i10,hyundai,2017,424999,2550,Petrol
701,hyundai santro xing,hyundai,2007,135000,47000,Petrol
702,honda city 1.5,honda,2005,95000,41000,Petrol
703,nissan micra xl,nissan,2017,430000,62500,Diesel
704,honda city 1.5,honda,2005,115000,68000,Petrol
705,maruti suzuki alto,maruti,2015,215000,50000,Petrol
706,maruti suzuki wagon,maruti,2004,53000,69000,Petrol
707,maruti suzuki ertiga,maruti,2012,500000,48000,Diesel
708,tata indica ev2,tata,2012,85000,55000,Diesel
709,maruti suzuki omni,maruti,2013,165000,25000,Petrol
710,hyundai eon era,hyundai,2014,200000,28400,Petrol
711,hyundai eon,hyundai,2014,200000,28000,Petrol
712,maruti suzuki swift,maruti,2015,425000,42000,Diesel
713,hyundai verna 1.6,hyundai,2012,600000,29000,Diesel
714,chevrolet tavera ls,chevrolet,2005,130000,68485,Diesel
715,tata tiago revotron,tata,2018,430000,3500,Petrol
716,tata tiago revotorq,tata,2019,568500,0,Petrol
717,maruti suzuki zen,maruti,2006,71000,32000,Petrol
718,mahindra kuv100 k8,mahindra,2018,560000,8000,Diesel
719,ford ecosport titanium,ford,2014,590000,34000,Diesel
720,hindustan motors ambassador,hindustan,1995,750000,37000,Petrol
721,ford fusion 1.4,ford,2007,125000,85455,Diesel
722,hyundai santro xing,hyundai,2007,135000,46000,Petrol
723,hyundai santro,hyundai,2002,60000,47000,Petrol
724,fiat linea emotion,fiat,2009,120000,64000,Petrol
725,ford ikon 1.3,ford,2008,95000,46000,Petrol
726,maruti suzuki omni,maruti,2017,240000,8000,Petrol
727,tata indica v2,tata,2012,115000,64000,Diesel
728,mahindra scorpio s4,mahindra,2015,795000,63000,Diesel
729,hyundai santro xing,hyundai,2007,55000,65000,Petrol
730,mahindra xylo d2,mahindra,2009,300000,62000,Diesel
731,hyundai grand i10,hyundai,2014,320000,41000,Petrol
732,maruti suzuki alto,maruti,2015,265000,14000,Petrol
733,toyota corolla,toyota,2006,160000,40000,Petrol
734,hyundai eon magna,hyundai,2017,300000,1600,Petrol
735,tata sumo grande,tata,2010,130000,90000,Diesel
736,maruti suzuki swift,maruti,2011,250000,58000,Diesel
737,volkswagen polo highline1.2l,volkswagen,2013,380000,27000,Petrol
738,maruti suzuki alto,maruti,2003,42000,60000,Petrol
739,tata tiago revotron,tata,2017,400000,31000,Petrol
740,maruti suzuki swift,maruti,2009,120000,90000,Diesel
741,maruti suzuki swift,maruti,2009,120000,90000,Diesel
742,tata indigo ecs,tata,2016,130000,150000,Diesel
743,chevrolet beat ls,chevrolet,2014,189000,31000,Diesel
744,mahindra xylo e8,mahindra,2011,365000,43000,Diesel
745,hyundai eon d,hyundai,2013,170000,20000,Petrol
746,tata sumo gold,tata,2013,215000,100000,Petrol
747,tata nano,tata,2013,60000,7000,Petrol
748,hyundai elite i20,hyundai,2017,599999,31000,Petrol
749,hyundai i10 magna,hyundai,2009,400000,33000,Petrol
750,hyundai creta,hyundai,2016,900000,60000,Diesel
751,volkswagen polo,volkswagen,2013,299999,48000,Diesel
752,maruti suzuki dzire,maruti,2014,374999,33000,Petrol
753,tata bolt xm,tata,2015,600000,15000,Petrol
754,maruti suzuki alto,maruti,2005,70000,47000,Petrol
755,maruti suzuki alto,maruti,2005,100000,40000,Petrol
756,maruti suzuki ritz,maruti,2010,150000,38000,Diesel
757,maruti suzuki alto,maruti,2017,225000,12500,Petrol
758,maruti suzuki dzire,maruti,2009,210000,42000,Petrol
759,hyundai i20 asta,hyundai,2014,425000,31000,Petrol
760,maruti suzuki swift,maruti,2008,162000,60000,Diesel
761,tata indica v2,tata,2005,60000,80000,Diesel
762,mahindra scorpio vlx,mahindra,2014,650000,77000,Diesel
763,toyota innova 2.5,toyota,2012,750000,75000,Diesel
764,mahindra xylo e8,mahindra,2010,375000,40000,Diesel
765,hyundai i20 magna,hyundai,2011,230000,47000,Petrol
766,maruti suzuki omni,maruti,2000,35999,60000,Petrol
767,mahindra kuv100,mahindra,2016,380000,26500,Petrol
768,mahindra kuv100 k8,mahindra,2019,560000,2875,Petrol
769,datsun go plus,datsun,2016,285000,13900,Petrol
770,ford endeavor 4x4,ford,2019,2900000,9000,Diesel
771,tata indica v2,tata,2005,39999,80000,Diesel
772,hyundai santro xing,hyundai,2006,85000,60000,Petrol
773,maruti suzuki wagon,maruti,2016,395000,20000,Petrol
774,maruti suzuki swift,maruti,2008,175000,58000,Diesel
775,maruti suzuki alto,maruti,2019,400000,1500,Petrol
776,toyota innova 2.5,toyota,2011,750000,75000,Diesel
777,maruti suzuki alto,maruti,2016,250000,2450,Petrol
778,maruti suzuki alto,maruti,2019,425000,1625,Petrol
779,volkswagen polo highline1.2l,volkswagen,2017,525000,45000,Petrol
780,mahindra logan,mahindra,2009,130000,65000,Diesel
781,maruti suzuki 800,maruti,2000,30000,33400,Petrol
782,mahindra scorpio,mahindra,2011,475000,60123,Diesel
783,chevrolet sail 1.2,chevrolet,2013,300000,28000,Petrol
784,hyundai santro ae,hyundai,2003,60000,70000,Petrol
785,maruti suzuki wagon,maruti,2006,100000,7000,Petrol
786,hyundai eon,hyundai,2018,260000,25000,Petrol
787,tata manza,tata,2015,100000,100000,Diesel
788,toyota etios g,toyota,2013,265000,42000,Petrol
789,hyundai getz prime,hyundai,2009,115000,20000,Petrol
790,toyota qualis,toyota,2003,180000,100000,Diesel
791,hyundai santro xing,hyundai,2004,45000,137495,Petrol
792,tata indica ev2,tata,2016,50500,91200,Diesel
793,honda city 1.5,honda,2009,270000,55000,Petrol
794,tata zest xe,tata,2017,290000,120000,Diesel
795,mahindra quanto c4,mahindra,2013,325000,63000,Diesel
796,tata indigo ecs,tata,2016,160000,104000,Diesel
797,maruti suzuki swift,maruti,2016,350000,146000,Diesel
798,hyundai elite i20,hyundai,2011,290000,40000,Petrol
799,hyundai i20 select,hyundai,2011,290000,40000,Petrol
800,chevrolet tavera neo,chevrolet,2007,465000,100800,Diesel
801,maruti suzuki dzire,maruti,2016,325000,150000,Diesel
802,hyundai elite i20,hyundai,2018,510000,2100,Petrol
803,honda city vx,honda,2016,860000,95000,Petrol
804,maruti suzuki dzire,maruti,2016,450000,2500,Diesel
805,hyundai getz,hyundai,2006,125000,80000,Petrol
806,mercedes benz c,mercedes,2006,500001,15000,Petrol
807,maruti suzuki alto,maruti,2005,95000,65000,Petrol
808,maruti suzuki swift,maruti,2009,250000,51000,Diesel
809,skoda fabia,skoda,2009,110000,45000,Petrol
810,maruti suzuki ritz,maruti,2011,270000,50000,Petrol
811,tata indica v2,tata,2009,110000,30000,Diesel
812,toyota corolla altis,toyota,2009,300000,132000,Petrol
813,tata zest xm,tata,2018,260000,27000,Diesel
814,mahindra quanto c8,mahindra,2013,390000,40000,Diesel
